#{"t_start": 1762492845.3484921, "env_id": "None"}
r,l,t
-7.193573,17,0.738493
-9.903337,19,0.799126
-8.901128,19,0.857781
-7.036924,19,0.918097
-8.231655,19,0.977247
-6.949825,18,1.032825
-7.357006,19,1.091303
-6.604252,18,1.147317
-5.993655,18,1.202661
-6.626832,18,1.257309
-7.48191,18,1.313061
-6.985355,19,1.372193
-8.193399,18,1.428272
-6.301327,18,1.483578
-8.636036,18,1.539897
-8.629519,19,1.598248
-8.232804,18,1.653543
-8.245684,18,1.708932
-6.480444,18,1.765151
-7.984271,19,1.823681
-8.505411,18,1.879194
-8.64606,18,1.936063
-10.336862,20,1.99841
-8.881686,19,2.057074
-6.268999,17,2.110095
-7.447218,19,2.16952
-8.134496,19,2.228194
-7.823477,19,2.286825
-9.947883,19,2.346282
-8.918781,19,2.405673
-7.731914,20,2.467088
-10.000978,20,2.529065
-6.113964,18,2.585204
-5.995752,18,11.487116
-6.705726,18,11.542597
-7.865852,18,11.597682
-7.549158,18,11.653427
-7.650375,18,11.708587
-8.029431,19,11.767416
-7.18163,17,11.819809
-7.847298,18,11.87566
-7.196747,18,11.931459
-8.424417,18,11.987229
-7.968112,18,12.042363
-9.782244,19,12.101416
-5.163869,17,12.153937
-5.970785,18,12.209283
-6.599715,18,12.265139
-9.461428,19,12.324395
-8.491434,18,12.379576
-8.082419,18,12.434755
-6.277037,18,12.490921
-7.578213,19,12.549438
-8.47215,18,12.604681
-6.565293,18,12.66038
-7.277515,18,13.504079
-10.488221,20,13.566712
-9.105733,18,13.623332
-9.904098,19,13.683593
-7.092102,18,13.740052
-8.224852,18,13.796338
-8.581766,18,13.852674
-7.269034,18,13.909324
-5.703751,17,13.962535
-8.11086,19,14.022255
-9.183445,19,14.081861
-6.959922,17,14.135272
-7.505289,17,14.188516
-7.030681,18,14.577642
-7.17451,19,14.636923
-7.909006,18,14.693583
-8.272853,18,14.749606
-9.171613,19,14.808652
-9.860497,19,14.867598
-6.978571,18,14.923932
-9.245216,19,14.983046
-7.2829,17,15.035992
-6.314871,18,15.092275
-8.313141,18,15.148691
-7.558854,19,15.208697
-8.313715,18,15.265126
-8.050235,18,15.321806
-8.834172,18,15.377922
