#{"t_start": 1762492845.323676, "env_id": "None"}
r,l,t
-5.734986,18,0.764889
-8.157938,18,0.821954
-7.238656,19,0.880699
-7.283158,17,0.93419
-6.387561,18,0.990522
-7.372731,18,1.046243
-14.703931,20,1.108168
-6.752804,18,1.163882
-8.543331,18,1.21927
-8.361671,18,1.274178
-7.660342,18,1.329522
-8.464875,18,1.385787
-10.221211,20,1.448167
-9.608255,19,1.506664
-7.265825,17,1.559905
-7.521841,18,1.615134
-7.241419,18,1.670363
-8.984106,19,1.728858
-7.072257,18,1.785164
-8.024759,19,1.843572
-6.874658,17,1.896094
-7.657013,18,1.952754
-11.143609,18,2.009277
-7.633024,17,2.061887
-8.116201,18,2.117783
-6.880722,18,2.174294
-7.475182,18,2.230051
-8.171307,19,2.288518
-8.095892,19,2.347135
-8.389029,18,2.40367
-7.061733,18,2.459781
-7.583542,19,2.518058
-7.312013,18,2.574319
-5.479246,18,2.629928
-8.658466,18,11.532303
-9.74325,19,11.590471
-8.344566,18,11.645546
-7.734733,18,11.701362
-6.883706,18,11.756679
-7.548855,18,11.812185
-6.233167,18,11.867843
-8.227013,18,11.923898
-8.662248,18,11.979741
-8.554533,18,12.035069
-8.387841,18,12.090681
-7.894015,18,12.146384
-8.813342,19,12.204946
-7.833823,18,12.260328
-6.634461,18,12.316259
-9.22591,19,12.375397
-8.068481,18,12.430199
-4.978654,17,12.482882
-7.53192,19,12.541857
-6.195054,18,12.597217
-8.812557,19,12.655373
-8.711784,18,12.711275
-8.026684,18,13.555662
-9.89142,19,13.6151
-8.42034,18,13.671658
-6.474937,18,13.728781
-5.172334,17,13.782188
-8.69746,19,13.841557
-8.798422,19,13.901288
-8.468492,18,13.957566
-9.183913,19,14.017254
-7.460915,19,14.076845
-7.610449,18,14.133413
-8.143632,18,14.189926
-8.838829,19,14.581938
-7.255275,17,14.635247
-8.264518,19,14.694495
-10.390983,20,14.757134
-7.535873,19,14.816106
-8.596269,19,14.875077
-6.483224,18,14.931182
-8.149848,18,14.987277
-7.585395,18,15.043422
-9.177556,19,15.102744
-8.693533,18,15.159573
-8.683645,18,15.216062
-8.776659,18,15.272833
-7.796373,19,15.332471
-7.618502,18,15.388726
-8.46915,18,15.444839
-8.350281,18,15.501167
-7.631414,17,15.554907
-8.804356,18,15.610562
-7.533646,18,15.666737
-8.624199,18,15.723322
-7.310698,18,15.779678
-7.237107,19,15.838848
-7.521737,18,15.894589
-6.570046,17,15.948381
-8.958574,19,16.007827
-7.584247,18,16.063919
-9.466513,20,16.126284
-10.656877,20,16.189416
-5.116616,19,16.248608
-8.72297,18,16.304392
-9.506923,20,16.366764
-7.649737,19,16.426081
-6.732179,17,16.479011
-8.04445,18,16.8665
-9.87444,19,16.926512
-6.807414,17,16.98026
-8.232172,18,17.036915
-7.699436,18,17.093236
-8.717095,18,17.149984
-6.600088,18,17.206572
-6.505053,18,17.262988
-6.839071,18,17.319417
-7.986747,18,17.376418
-8.393863,18,18.15454
-6.985641,19,18.213575
-9.441782,19,18.271986
-7.950125,18,18.327312
-6.968862,19,18.387313
-6.900033,19,18.445651
-7.457259,18,18.500786
-9.193748,19,18.560569
-7.113919,19,18.619651
-8.526866,18,18.675174
-7.036345,19,18.733847
-9.946888,19,18.79316
-7.622763,19,18.852125
-8.271175,19,18.910738
-8.521019,19,18.969705
-9.825028,20,19.03116
-8.112937,18,19.086616
-8.122149,18,19.143437
-8.530033,18,19.201011
-6.783427,18,19.256403
-7.105192,18,19.311498
-7.982779,18,19.367163
-6.908056,18,19.422886
