#{"t_start": 1762492845.3286524, "env_id": "None"}
r,l,t
-7.468311,18,28.327641
-7.000354,18,28.384776
-9.258575,19,28.445369
-7.890091,18,28.502837
-6.543458,17,28.557425
-7.608415,18,28.614969
-8.391901,18,28.672645
-8.842266,18,28.729962
-6.961603,17,28.783989
-8.358515,18,28.841266
-8.345328,18,28.899475
-9.237171,19,28.960485
-7.899155,18,29.017637
-6.419203,18,29.074929
-9.284063,19,29.134825
-8.42573,18,29.192146
-8.438498,18,29.249578
-8.329527,18,29.307202
-6.999483,17,29.361142
-6.534023,19,29.421755
-8.995009,19,29.482605
-7.182854,18,29.540069
-8.628916,18,29.597535
-8.315893,18,29.65483
-7.871778,18,29.712325
-8.589881,19,29.772847
-5.681147,18,29.829907
-8.223415,18,29.887424
-9.289594,19,29.947599
-6.567607,18,30.492292
-6.282286,17,30.545528
-7.454804,18,30.601202
-6.223995,18,30.657127
-6.588905,18,30.713603
-8.433912,18,30.769381
-8.267682,18,30.825151
-8.119227,19,31.586511
-9.72561,19,31.645043
-8.577256,18,31.700881
-5.17405,17,31.753005
-6.883308,18,31.808247
-8.926009,19,31.86648
-9.308115,19,31.925384
-6.533953,19,31.983579
-8.313523,18,32.038887
-8.626857,19,32.097708
-8.410421,18,32.153327
-8.226091,18,32.208909
-8.011075,18,32.26375
-7.38832,18,32.319686
-7.803471,18,32.374998
-7.160596,18,32.430147
-5.871176,17,32.482442
-6.6675,19,32.541443
-7.364304,18,32.596797
-7.319187,17,32.649083
-7.539458,18,32.704902
-8.350451,19,32.763671
-7.098498,18,32.819167
-7.034625,17,32.871234
-7.419134,18,32.927089
-8.785149,19,32.985609
-6.703156,18,33.040967
-8.432203,19,33.099563
-8.312085,18,33.48651
-5.926115,17,33.539793
-7.974725,18,33.594989
-8.936673,19,33.653078
-9.1756,19,33.711746
-7.781403,18,33.767207
-8.042912,18,33.822297
-7.220795,18,33.877137
-10.003326,20,33.938932
-10.054336,20,34.000614
-7.885559,18,34.05551
-8.221478,19,34.113585
-8.470622,18,34.169796
-6.771157,17,34.222082
-8.642595,18,34.277343
-6.656158,19,34.335664
-7.136315,17,34.388083
-6.528784,18,34.443302
-8.750024,18,34.498583
-8.713854,19,34.557443
-6.470411,18,34.61324
-9.602952,19,34.671463
-11.668886,18,34.727018
-6.838131,18,34.782429
-6.700285,17,34.834625
-4.718542,17,34.886497
-7.64379,18,34.942183
-6.948064,17,34.994626
-7.931952,19,35.73342
-6.191819,18,35.790411
-8.16107,18,35.846603
-6.129243,17,35.899561
-7.887516,18,35.956462
-7.677795,18,36.013623
-7.11535,17,36.405863
-8.202901,18,36.463004
-9.073687,19,36.523288
-8.573846,19,36.583869
-8.258954,18,36.640734
-7.497441,18,36.697687
-8.666156,18,36.75509
-7.650367,18,36.812412
-8.316321,18,36.869474
-7.454698,18,36.926409
-7.788109,18,36.984168
-6.875326,18,37.041166
-9.10802,19,37.101025
-8.441764,18,37.158463
-7.823133,18,37.215556
-9.205535,19,37.275704
-7.116895,17,37.329652
-8.799613,19,37.390385
-6.841782,19,37.450466
-8.691863,18,37.507285
-6.745618,18,37.563898
-7.587974,18,37.621193
-8.593685,18,37.678273
-5.978709,17,37.732148
-8.248919,19,37.792523
-6.927567,18,37.850392
-7.465487,19,37.910333
-8.083095,18,37.967447
-6.85341,18,38.024535
-5.6018,17,38.078804
-9.169631,20,38.141899
-6.954306,17,38.196504
-9.88848,19,38.256962
-8.331792,18,38.314518
-6.659641,18,38.713746
-6.659028,17,38.768616
-7.304747,18,38.827032
-8.332283,18,38.885514
-8.512182,19,38.944654
-8.403897,18,39.001631
-7.100054,17,39.055168
-7.159474,17,39.108737
-6.480005,18,39.165525
-7.368873,18,39.222899
-8.252479,18,39.279576
-7.460559,18,39.336587
-8.248317,18,39.39406
-7.813275,18,39.451213
-8.34815,18,39.508163
-10.463511,19,39.568248
-8.448542,18,39.625665
-5.759307,18,40.405674
-8.977122,19,40.466373
-6.252505,18,40.523457
-6.140575,19,40.583959
-9.015687,19,40.644929
-7.735879,18,40.70197
-6.738387,18,40.766872
-6.901783,18,40.824386
-5.687562,18,40.882087
-6.150046,18,40.939503
-7.386812,18,40.996947
-6.914017,18,41.055286
-6.634317,18,41.112623
-8.74673,18,41.169687
-8.624927,18,41.227812
-8.125125,18,41.285034
-7.525199,18,41.342217
-9.425432,19,41.402931
-6.659664,18,41.799225
-5.385737,17,41.853783
-9.033095,19,41.913647
-6.761077,18,41.970906
-7.440781,18,42.028522
-6.679694,18,42.085449
-9.099692,19,42.145704
-7.732197,19,42.205945
-5.392788,17,42.260434
-8.144257,18,42.317758
-5.215421,17,42.371691
-8.543772,18,42.429645
-8.378225,19,42.490669
-8.117846,18,42.548664
-10.097064,20,42.612943
-8.511034,19,42.674271
-6.651417,18,42.732194
-8.388303,18,42.789735
-8.532146,18,42.84743
-6.625585,18,42.905712
-7.144985,19,42.966693
-8.075778,18,43.025152
-8.051536,18,43.083925
-9.577449,20,43.148179
-7.765081,18,43.205585
-8.571413,19,43.266438
-8.287241,18,43.323759
-6.760496,18,43.381091
-6.844049,17,43.435685
-7.346434,17,43.490253
-7.99181,18,43.547792
-8.808771,18,43.605474
-7.462699,18,43.66405
-9.962389,19,43.724907
-7.230155,18,44.123933
-8.640818,18,44.182156
-6.726361,18,44.239514
-6.717079,18,44.298055
-6.047642,18,44.954269
-5.484363,18,45.011819
-7.678898,18,45.069588
-6.113751,17,45.124479
-8.483261,18,45.18229
-6.544734,17,45.236995
-6.064205,17,45.292242
-7.67883,19,45.353335
-5.907622,17,45.408312
-6.98385,18,45.466651
-7.290594,18,45.525289
-9.158303,19,45.586505
-8.25462,19,45.646984
-5.788722,18,45.70507
-6.431247,18,45.762895
-8.015757,18,45.820946
-8.77813,19,45.881996
-8.908345,19,45.943377
-5.848971,18,46.001281
-8.409096,18,46.059015
-6.353787,18,46.117025
-8.420435,18,46.174897
-7.812078,18,46.232042
-9.429834,19,46.292812
-8.27822,18,46.350573
-8.877345,18,46.40807
-7.222011,17,46.462483
-6.947282,17,46.517406
-6.891914,19,46.578324
-6.277052,17,46.633021
-8.79728,19,46.69363
-7.449831,18,47.093727
-6.49206,18,47.152172
-7.211635,17,47.206697
-5.870111,17,47.261431
-7.165298,17,47.31575
-7.231794,18,47.373578
-7.465709,18,47.43161
-8.291611,18,47.489136
-7.448793,18,47.547159
-7.971449,18,47.604804
-7.9195,18,47.662294
-8.853116,19,47.723505
-6.339574,18,47.78129
-8.264869,18,47.83867
-7.120126,17,47.893077
-8.651637,19,47.954623
-7.223371,17,48.009402
-8.235979,19,48.070694
-7.72693,18,48.128511
-7.99383,18,48.186301
-8.504736,18,48.243283
-5.904348,17,48.297888
-8.297835,18,48.356174
-7.979751,18,48.414181
-7.458546,19,48.475512
-5.142168,17,48.530512
-8.009437,18,49.223177
-8.018844,18,49.279795
-8.425861,19,49.340542
-5.720649,17,49.394879
-8.961838,19,49.455269
-9.644077,19,49.515417
-7.342125,17,49.570697
-6.481709,17,49.624708
-6.655404,17,49.679
-8.468486,18,50.06185
-6.565459,18,50.119834
-8.889148,19,50.181062
-6.898601,18,50.238991
-8.158647,19,50.300166
-8.334712,18,50.358129
-7.412677,18,50.416256
-9.202509,19,50.477212
-7.726395,18,50.534796
-8.593662,19,50.595983
-8.460698,18,50.653886
-7.827521,18,50.711038
-6.783362,18,50.770784
-8.020283,18,50.828929
-8.736033,18,50.886708
-7.830918,18,50.944154
-5.707213,18,51.002878
-8.155273,19,51.063548
-8.602604,18,51.121538
-5.103656,17,51.176645
-7.455314,18,51.234277
-4.848162,18,51.291724
-7.902476,18,51.349846
-8.782718,18,51.408364
-12.565036,19,51.469094
-4.863046,17,51.523772
-8.553941,18,51.582299
-8.364673,19,51.643757
-6.429328,17,51.697999
-6.018343,18,51.755409
-7.996725,18,51.813802
-5.860713,18,51.871917
-7.059675,18,51.929331
-5.760542,17,51.983889
-4.94968,17,52.038361
-7.065753,18,52.553357
-7.330421,18,52.611536
-6.184574,17,52.666316
-9.186838,19,52.727074
-6.042841,18,52.785124
-7.815324,18,52.843813
-7.307828,18,52.901803
-8.139385,18,52.959906
-7.721353,18,53.018466
-8.473939,18,53.076881
-7.395922,17,53.131374
-8.376478,18,53.189085
-8.735384,18,53.247557
-6.091414,17,54.077392
-7.421913,17,54.130044
-8.76048,18,54.186481
-7.997342,18,54.244004
-6.480592,17,54.29775
-7.073344,18,54.354856
-7.964191,18,54.412272
-8.084924,18,54.470006
-7.627106,18,54.527723
-6.887131,18,54.585258
-6.385854,18,54.643667
-8.449011,19,54.704787
-7.86562,18,54.761926
-5.925028,17,54.816363
-6.043991,17,54.870997
-8.453283,19,54.93119
-7.957167,18,54.988068
-6.313882,18,55.045901
-6.065594,18,55.103669
-7.441569,19,55.164526
-7.076481,17,55.218949
-7.759485,18,55.599259
-8.849454,18,55.657792
-5.856554,17,55.712439
-8.271772,18,55.774765
-7.565232,19,55.835956
-8.779643,18,55.89413
-7.05323,18,55.951621
-6.846412,18,56.009172
-7.729264,17,56.064718
-8.209624,18,56.122216
-8.593328,20,56.18586
-9.247531,19,56.246844
-5.98933,18,56.304393
-9.329698,19,56.364328
-12.344568,18,56.421574
-7.712703,18,56.479852
-7.03063,17,56.534432
-7.568515,19,56.59536
-8.161389,18,56.653571
-6.705992,17,56.708596
-5.697507,17,56.763357
-7.53836,18,56.82094
-8.517871,18,56.878851
-7.121181,17,56.933101
-7.247436,17,56.987302
-6.197882,17,57.042053
-7.549258,18,57.100029
-8.382278,18,57.157884
-8.826389,18,57.215794
-6.420573,18,57.274034
-8.116782,19,57.335095
-6.31751,18,57.392673
-9.288543,20,57.457221
-6.840865,18,57.515078
-7.179568,19,57.576051
-6.914109,18,57.957829
-8.442865,18,58.689398
-6.181176,17,58.743752
-8.690258,19,58.804538
-6.304925,18,58.862184
-6.429371,17,58.917901
-5.429808,17,58.9725
-6.916727,18,59.030226
-5.190851,18,59.088476
-8.792765,19,59.150114
-5.486044,17,59.20501
-7.703907,18,59.262816
-8.452048,18,59.321129
-8.379354,18,59.378628
-7.067758,17,59.433206
-6.23891,17,59.48772
-8.319556,18,59.546748
-8.134857,18,59.604162
-6.156274,17,59.658544
-6.761754,17,59.713927
-8.323131,19,59.775383
-8.156819,18,59.832906
-8.297589,18,59.890604
-6.151719,18,59.949535
-6.561899,17,60.003988
-6.442486,17,60.059128
-8.813953,19,60.12074
-8.359785,18,60.178672
-8.393362,18,60.236152
-6.108773,17,60.290798
-7.861,19,60.352755
-6.843815,18,60.410851
-5.96031,18,60.468477
-9.214808,19,60.53054
-8.540211,18,60.58861
-7.205586,18,60.972844
-8.165353,18,61.031831
-7.390951,18,61.089848
-5.360306,18,61.148217
-8.80036,18,61.206445
-9.428711,19,61.268002
-6.759519,17,61.323022
-8.360535,18,61.381406
-7.675737,18,61.439802
-8.347049,18,61.497955
-8.712757,18,61.555987
-7.524347,18,61.614213
-6.481821,17,61.668736
-6.519502,18,61.72626
-7.540282,18,61.784813
-8.943202,19,61.846056
-8.522861,18,61.904172
-7.146535,17,61.959073
-7.773666,18,62.017287
-7.990289,18,62.075158
-7.406105,17,62.129827
-6.353553,17,62.185271
-5.861514,18,62.243393
-6.976548,18,62.92334
-8.576819,18,62.981907
-9.071875,19,63.043688
-5.989618,17,63.098102
-8.589114,18,63.156544
-6.145682,17,63.21139
-5.701695,18,63.268361
-6.659884,17,63.322537
-9.144311,19,63.383727
-7.933047,18,63.440969
-6.25499,18,63.498357
-7.113869,17,63.552538
-9.629469,19,63.937423
-6.415523,18,63.995253
-7.509567,19,64.05604
-8.24589,18,64.113439
-7.377859,18,64.171424
-5.601634,17,64.225959
-5.332764,17,64.280334
-8.799367,19,64.34058
-5.841679,17,64.394749
-7.214409,18,64.452304
-4.636233,18,64.509813
-5.991771,17,64.567786
-6.743766,17,64.623106
-6.873686,17,64.67798
-7.789767,18,64.736123
-8.561724,18,64.7941
-8.859881,19,64.854832
-7.225856,18,64.913072
-7.164802,18,64.9711
-7.514778,18,65.030607
-4.705666,17,65.084236
-8.230268,18,65.140308
-5.609423,17,65.193575
-8.638735,19,65.253029
-8.129622,18,65.308941
-8.276953,18,65.364784
-9.174675,19,65.425134
-6.141511,18,65.481426
-7.467342,18,65.537825
-8.312493,18,65.594165
-7.926142,18,65.650405
-8.010553,18,65.706522
-9.42284,19,65.76575
-6.503731,18,65.829044
-9.022978,19,65.888223
-6.985468,17,66.256841
-6.628221,17,66.310163
-6.066352,17,66.363049
-7.072296,18,66.419498
-7.679901,18,66.475569
-7.883855,18,66.531737
-6.552367,18,66.587634
-8.405088,18,66.644153
-8.17954,18,66.699949
-6.762056,17,66.752732
-8.752331,18,67.467724
-7.073245,17,67.520323
-6.488941,17,67.572735
-6.332133,17,67.625508
-7.24138,18,67.681605
-7.381478,19,67.740375
-8.351028,18,67.796008
-7.185173,18,67.851903
-6.528015,18,67.907455
-6.787176,18,67.963359
-7.009922,17,68.016259
-7.825085,18,68.073269
-5.378436,17,68.125988
-6.921013,17,68.178608
-8.333847,18,68.233989
-7.581105,18,68.289824
-5.991516,18,68.345142
-6.652079,18,68.400461
-8.041751,18,68.45673
-6.973625,18,68.512444
-6.982414,17,68.565036
-6.974291,19,68.623399
-7.172852,17,68.676544
-6.084355,19,68.735235
-8.316878,18,68.790754
-7.708921,18,69.162947
-8.01935,18,69.219403
-4.820618,17,69.272932
-8.548219,18,69.328887
-6.676865,17,69.381637
-7.678722,19,69.440789
-6.690816,18,69.497451
-8.620991,18,69.553306
-7.869021,18,69.609212
-5.002762,17,69.662229
-5.955522,18,69.718013
-5.594759,18,69.773445
-6.033413,17,69.826068
-8.273856,18,69.88235
-8.5698,18,69.938303
-5.688518,18,69.993725
-6.237133,18,70.049675
-6.872536,17,70.103362
-7.226154,18,70.158992
-6.884681,17,70.21138
-6.987472,17,70.264251
-6.376551,18,70.320069
-8.494899,18,70.375659
-7.202241,17,70.427923
-7.009249,17,70.480904
-5.96434,18,70.536439
-7.477065,18,70.592109
-7.785605,18,70.647632
-6.762937,19,70.706589
-8.801311,19,70.765319
-5.709642,18,70.822372
-5.537256,17,70.875331
-6.452906,17,70.928117
-7.095541,18,71.674278
-5.674377,18,71.732385
-6.551376,18,72.11534
-7.614745,18,72.17391
-7.262339,17,72.22908
-6.006458,17,72.284013
-7.969472,18,72.342638
-7.666102,18,72.40063
-8.352189,19,72.461789
-5.155443,17,72.516777
