#{"t_start": 1762492845.3337348, "env_id": "None"}
r,l,t
-9.317352,19,0.759169
-9.863929,19,0.819675
-6.203294,18,0.874817
-9.291282,19,0.935225
-8.672333,19,0.994189
-9.09466,19,1.052831
-9.192824,19,1.111239
-9.801012,19,1.170313
-8.655257,19,1.228704
-9.258678,19,1.287009
-9.262961,19,1.345998
-9.408493,19,1.405191
-8.406298,18,1.460837
-8.809347,18,1.516621
-10.137727,19,1.575477
-7.35318,19,1.633715
-9.78871,19,1.692011
-7.446281,18,1.748291
-9.372954,19,1.806937
-8.557309,18,1.862351
-8.594963,18,1.918472
-9.037132,19,1.978209
-9.22402,19,2.037055
-9.536306,20,2.09884
-6.114048,17,2.152439
-8.763949,19,2.211236
-8.070823,18,2.266682
-7.839384,18,2.322133
-7.57771,18,2.378702
-8.222291,19,2.437981
-5.833829,18,2.493234
-8.127852,19,2.552469
-7.320897,19,2.611356
-7.016856,17,11.510346
-7.672821,18,11.565877
-7.663713,18,11.620752
-8.399808,18,11.676636
-8.554492,18,11.731822
-6.559515,18,11.787378
-7.342726,19,11.846028
-8.513661,18,11.902009
-9.027802,19,11.960907
-8.284011,18,12.016307
-8.115006,18,12.071968
-6.572297,18,12.127695
-6.999363,19,12.186061
-7.455712,18,12.24152
-7.05524,17,12.294306
-6.345179,18,12.350382
-8.915842,19,12.408627
-6.78825,18,12.463655
-8.373049,18,12.520012
-6.623832,17,12.572342
-7.68599,19,12.630654
-7.088921,17,12.683334
-7.753671,19,13.530556
-8.142383,18,13.586747
-6.732207,18,13.643479
-7.416027,18,13.700581
-7.886279,18,13.757077
-7.057574,18,13.813406
-8.165787,19,13.872659
-9.332034,19,13.93245
-8.254385,18,13.988996
-7.613944,18,14.045518
-7.287042,18,14.102043
-9.100186,19,14.16181
-7.270903,19,14.553872
-9.195807,19,14.61349
-7.926002,19,14.672532
-8.049582,18,14.729196
-6.797127,19,14.788306
-8.450709,18,14.844308
-9.850382,19,14.903482
-8.358418,19,14.962572
-7.854565,19,15.021657
-8.14084,19,15.080966
-7.175923,18,15.137799
-8.139176,18,15.194226
-7.486126,18,15.251151
-7.947685,19,15.310831
-7.986553,18,15.367018
-7.212615,17,15.420134
-7.615346,18,15.476258
-6.047943,18,15.532928
-7.866043,19,15.592012
-6.241044,17,15.644948
-8.185187,18,15.701247
-7.020339,18,15.757812
-8.540712,18,15.813891
-8.54841,19,15.872806
-9.094885,19,15.932742
-8.25861,18,15.989119
-7.255973,18,16.045038
-7.971599,18,16.10122
-8.293889,18,16.158158
-10.021722,20,16.220608
-8.574686,18,16.276612
-8.479177,18,16.332784
-7.899251,18,16.388804
-6.542639,18,16.445074
-6.061326,17,16.497725
-9.07604,19,16.888855
-6.064722,17,16.942686
-8.16834,18,16.999283
-6.554453,18,17.055875
-9.588517,19,17.115428
-7.205227,19,17.175461
-9.910695,19,17.23474
-7.770394,18,17.291233
-8.129323,18,17.347838
-7.518404,19,18.129166
-7.922374,18,18.185405
-9.46201,19,18.243979
-8.642313,19,18.302315
-6.841369,18,18.359016
-5.912921,17,18.411708
-8.234702,18,18.466884
-8.838201,18,18.522271
-7.669486,18,18.579311
-7.510151,18,18.634769
-8.000884,20,18.696637
-8.701833,19,18.75603
-7.29616,18,18.81188
-9.824024,19,18.870392
-6.649064,18,18.925815
-7.423986,19,18.98509
-8.814082,19,19.043454
-8.413669,18,19.099365
-7.070653,19,19.159777
-7.573099,19,19.219225
-8.344921,19,19.277556
