#{"t_start": 1762492845.3436134, "env_id": "None"}
r,l,t
-6.856184,19,0.750066
-8.436061,18,0.807132
-5.634913,18,0.862215
-7.011324,18,0.918928
-8.804025,18,0.975232
-7.418665,18,1.030879
-8.628997,18,1.086178
-7.743692,18,1.14204
-6.457172,18,1.19746
-10.030036,20,1.258602
-7.605246,17,1.311032
-8.242031,18,1.367264
-8.89148,19,1.426311
-6.65083,19,1.484916
-7.608458,17,1.538092
-6.142698,18,1.593317
-7.486541,18,1.648574
-6.730412,17,1.700866
-6.451839,17,1.754365
-6.449288,19,1.812855
-7.956686,18,1.868323
-7.321314,18,1.924728
-6.432618,18,1.981386
-8.353099,18,2.037148
-8.18224,18,2.0929
-8.299452,18,2.149462
-8.658618,18,2.205136
-6.082128,18,2.26057
-7.903392,18,2.316058
-8.560778,18,2.372672
-8.823263,18,2.42892
-7.965496,18,2.48414
-6.643467,17,2.536897
-8.698827,18,2.59294
-7.86257,18,11.494805
-9.265704,19,11.553444
-9.167517,19,11.611646
-8.254457,18,11.667557
-10.556619,20,11.72882
-7.589085,18,11.784376
-6.979062,18,11.839967
-8.861847,19,11.899033
-8.191092,18,11.954912
-8.102743,18,12.010257
-8.817602,20,12.072221
-7.978343,18,12.127895
-7.044969,18,12.183122
-8.678608,18,12.23849
-8.94092,19,12.297795
-8.871768,18,12.353569
-9.420379,19,12.411698
-8.776647,18,12.467679
-8.086985,19,12.526425
-9.589962,19,12.584713
-6.963965,19,12.642859
-8.138766,19,12.701788
-7.370586,19,13.54934
-10.186755,19,13.609001
-6.505341,17,13.662461
-8.042139,19,13.722601
-9.827386,20,13.785115
-8.601194,18,13.841396
-9.005213,20,13.904647
-7.221672,18,13.960759
-9.226476,19,14.020488
-7.008951,19,14.080186
-8.700849,18,14.136696
-7.467852,19,14.196285
-8.231344,18,14.585297
-8.287395,19,14.644633
-8.575463,18,14.701213
-8.884018,19,14.760373
-7.74958,18,14.81631
-8.019736,18,14.872007
-8.354999,18,14.928379
-8.714297,18,14.984453
-6.637452,18,15.040403
-9.064385,19,15.100295
-7.179382,18,15.156772
-8.697563,19,15.216838
-7.955312,18,15.273069
-6.603759,19,15.332902
-7.630125,18,15.389031
-9.658525,19,15.448176
-6.055171,18,15.504762
-9.601344,19,15.564329
-7.602453,18,15.620148
-7.423612,18,15.67605
-7.329104,19,15.73612
-5.975061,18,15.792158
-8.998471,19,15.851217
-8.575556,18,15.907632
-9.442426,19,15.967302
-8.038821,18,16.023498
-9.025279,19,16.082568
-8.75477,19,16.142484
-7.745355,18,16.199
-5.885784,18,16.254924
-7.030949,19,16.314073
-5.539127,18,16.370233
-9.011338,18,16.426519
-5.587264,18,16.482333
-8.82625,18,16.870101
-8.969483,18,16.926939
-7.980609,18,16.983532
-8.940614,19,17.043217
-8.300986,18,17.099453
-11.082721,20,17.162818
-10.02636,20,17.225662
-8.037758,18,17.282116
-8.792674,19,17.341869
-9.324567,20,18.126582
-7.274347,18,18.182395
-6.755463,19,18.240915
-8.483126,18,18.296262
-7.589514,19,18.356177
-9.166906,19,18.414821
-9.228364,20,18.475974
-4.392266,17,18.529269
-5.71961,18,18.585413
-7.457977,18,18.641029
-9.707559,19,18.699889
-7.90185,19,18.759211
-8.014552,20,18.820997
-7.438149,19,18.879473
-6.52703,18,18.935282
-8.185372,19,18.993958
-7.295646,18,19.049405
-7.187101,17,19.102671
-8.372175,18,19.160042
-8.336016,18,19.216129
-8.182127,18,19.271398
-8.943952,18,19.326446
-9.707293,20,19.388472
-8.78938,20,19.450467
-7.082755,19,19.857635
-7.290591,18,19.914497
-8.364125,18,19.971799
-5.729463,17,20.025235
-6.293689,18,20.081447
-9.233714,19,20.1411
-5.361136,18,20.198287
-8.702581,19,20.258283
-8.557756,19,20.318005
-8.452638,19,20.378539
