#{"t_start": 1762492845.358349, "env_id": "None"}
r,l,t
-429.097704,500,2.922323
-435.818969,500,3.229349
-439.439214,500,3.534078
-439.157502,500,3.836561
-431.987126,500,4.13972
-435.042106,495,4.435146
-432.460717,493,4.730148
-428.703907,490,5.023273
-427.517073,493,5.320317
-429.526193,490,5.616549
-426.886563,488,5.91054
-426.423079,488,6.203621
-424.363766,488,6.497454
-426.383889,490,6.79243
-423.734636,490,7.087219
-422.537629,486,7.379083
-429.814315,489,7.674828
-424.247216,487,7.965749
-424.505065,488,8.258106
-424.343009,486,8.547527
-423.50604,486,8.837715
-423.929391,485,9.12755
-426.62461,485,9.419911
-424.062246,487,9.711918
-422.902146,486,10.003183
-421.805055,486,10.294303
-423.617644,487,10.586076
-421.827113,486,10.877024
-432.611426,486,11.16963-8.851932,19,11.507695
-8.95-8.236191,18,14.202646
-8.228663,18,14.213683
-8.224948,18,14.224695
-8.217108,18,14.235664
-8.214359,18,14.246574
-8.224963,18,14.257684
-8.206023,18,14.269015
-8.236934,18,14.280253
-8.226141,18,14.291217
-8.207966,18,14.30237
-8.150005,18,14.313587
-8.221206,18,14.324604
-8.218131,18,14.335546
-8.216037,18,14.346447
-8.152557,18,14.357466
-8.157287,18,14.368472
-8.11573,18,14.3794
-8.118102,18,14.390309
-8.101687,18,14.401162
-8.112471,18,14.412059
-8.106864,18,14.422987
-8.056422,18,14.433933
-8.06515,18,14.444819
-8.055892,18,14.455717
-8.055545,18,14.467132
-8.052902,18,14.478346
-8.043952,18,14.489378
-8.042864,18,14.501305
-8.04789,18,14.512283
-8.045266,18,14.523204
-8.307314,18,16.489063
-8.331238,18,16.500141
-8.255539,18,16.51126
-8.248984,18,16.522479
-8.237279,18,16.533679
-8.229157,18,16.544693
-8.243861,18,16.555664
-8.182828,18,16.56657
-8.168494,18,16.577587
-8.159571,18,16.588531
-8.158815,18,16.59949
-8.157811,18,16.610679
-8.157277,18,16.621867
-8.211479,18,16.632788
-8.244748,18,16.643701
-8.252647,18,16.654598
-8.278234,18,16.665532
-8.262734,18,16.67643
-8.258647,18,16.687772
-8.268783,18,16.69885
-8.280445,18,16.709984
-8.233302,18,16.721126
-8.23801,18,16.732033
-8.22342,18,16.742984
-8.250281,18,16.753906
-8.236146,18,16.764829
-8.225021,18,16.775784
-8.235613,18,16.786663
-8.239418,18,16.797643
-8.221245,18,16.808577
-8.635729,19,19.48851
-8.635511,19,19.500117
-8.626206,19,19.511707
-8.707215,19,19.523344
-8.667626,19,19.534998
-8.725264,19,19.546723
-8.592092,19,19.558352
-8.668466,19,19.569978
-8.70606,19,19.581472
-8.651941,19,19.593136
-8.680497,19,19.604698
-8.666617,19,19.616184
-8.684277,19,19.627698
-8.715623,19,19.639088
-8.690607,19,19.650514
-8.666432,19,19.662078
-8.694476,19,19.673817
-8.670608,19,19.68531
-8.680254,19,19.696748
-8.725719,19,19.708149
-8.687547,19,19.719675
-8.712397,19,19.731325
-8.673932,19,19.743006
-8.718847,19,19.75468
-8.695925,19,19.766237
-8.721098,19,19.777758
-8.67303,19,19.789244
-8.703242,19,19.800719
-8.687974,19,19.812159
-8.698141,19,19.823622
-6.121231,18,22.4413
-6.154004,18,22.452548
-6.116501,18,22.463448
-6.146067,18,22.474371
-6.112808,18,22.485225
-6.149668,18,22.496068
-6.131857,18,22.506918
-6.176276,18,22.517962
-6.166568,18,22.528835
-6.171663,18,22.539696
-6.105262,18,22.550725
-6.13262,18,22.561836
-6.134983,18,22.572793
-6.126313,18,22.583684
-6.131206,18,22.59461
-6.136213,18,22.605494
-6.130788,18,22.616367
-6.146755,18,22.627352
-6.118446,18,22.638214
-6.109817,18,22.649106
-6.10921,18,22.660025
-6.094766,18,22.670893
-6.105901,18,22.681751
-6.111725,18,22.69263
-6.096467,18,22.7036
-6.117531,18,22.714472
-6.148082,18,22.725232
-6.120025,18,22.736094
-6.113894,18,22.746881
-6.139072,18,22.758035
-6.147075,18,24.70007
-6.158899,18,24.711002
-6.150294,18,24.722086
-6.160389,18,24.733075
-6.162442,18,24.744038
-6.158875,18,24.755011
-6.157626,18,24.765976
-6.152588,18,24.776996
-6.15971,18,24.788213
-6.164392,18,24.799304
-6.155258,18,24.810508
-6.148581,18,24.821541
-6.149395,18,24.832536
-6.15491,18,24.843516
-6.157431,18,24.854487
-6.15406,18,24.865559
-6.140594,18,24.876685
-6.103374,18,24.887656
-6.164272,18,24.898543
-6.144605,18,24.909442
-6.18161,18,24.920542
-6.193974,18,24.931575
-6.15214,18,24.942538
-6.181017,18,24.953735
-6.17735,18,24.964859
-6.201918,18,24.975801
-6.204756,18,24.987046
-6.207313,18,24.998111
-6.20363,18,25.009145
-6.208686,18,25.020074
-6.144549,18,27.628175
-6.160688,18,27.639262
-6.168439,18,27.65058
-6.139857,18,27.661747
-6.146704,18,27.673047
-6.171817,18,27.684266
-6.162047,18,27.695323
-6.12475,18,27.706558
-6.135361,18,27.717771
-6.105653,18,27.729072
-6.197174,18,27.740228
-6.194255,18,27.751466
-6.121433,18,27.762894
-6.075702,18,27.774261
-6.097892,18,27.785571
-6.104596,18,27.797041
-6.18258,18,27.808373
-6.110087,18,27.819997
-6.061804,18,27.83155
-6.054007,18,27.843009
-6.123266,18,27.85415
-6.0896,18,27.865469
-6.150188,18,27.876588
-6.173575,18,27.887907
-6.176096,18,27.89921
-6.143538,18,27.910452
-6.134675,18,27.921693
-6.130753,18,27.933203
-6.164808,18,27.944553
-6.124014,18,27.955919
-6.115916,18,29.971982
-6.106833,18,29.983022
-6.11083,18,29.993984
-6.11321,18,30.004977
-6.111325,18,30.015915
-6.122392,18,30.026814
-6.128643,18,30.038094
-6.137212,18,30.049393
-6.143759,18,30.060713
-6.128422,18,30.072028
-6.144937,18,30.115979
-6.097629,18,30.127338
-6.107321,18,30.13845
-6.092844,18,30.149486
-6.071498,18,30.160466
-6.076888,18,30.171433
-6.101569,18,30.18236
-6.111187,18,30.193283
-6.101581,18,30.204337
-6.10082,18,30.215344
-6.116822,18,30.226339
