#{"t_start": 1762492845.338679, "env_id": "None"}
r,l,t
-11.493669,18,0.751143
-12.011331,18,0.808095
-7.561513,18,0.863404
-7.476115,18,0.920328
-8.52361,19,0.979667
-8.229693,18,1.035353
-7.793549,18,1.090675
-9.047827,19,1.15
-6.613086,19,1.208428
-10.621345,20,1.269808
-8.036671,18,1.325457
-7.567755,18,1.381189
-8.536565,18,1.437255
-6.654361,17,1.489396
-7.087679,18,1.546005
-7.654248,19,1.60415
-8.906751,19,1.662535
-6.758177,19,1.721229
-7.788869,18,1.777632
-9.533434,19,1.836026
-7.257472,19,1.894895
-6.973448,19,1.954578
-7.594953,18,2.010925
-9.479547,19,2.06959
-9.029487,19,2.128771
-6.612777,18,2.18503
-9.066909,19,2.243701
-8.535638,18,2.299156
-7.492948,18,2.355271
-9.694735,19,2.414698
-8.223945,18,2.47018
-8.654113,18,2.525568
-8.355497,19,2.584942
-7.682014,18,11.486928
-8.437981,18,11.542633
-7.575425,18,11.597698
-8.373325,18,11.653207
-4.991404,17,11.705523
-8.506323,18,11.761069
-8.308971,20,11.822737
-5.710727,17,11.87553
-7.349269,18,11.931089
-6.478188,19,11.99012
-8.26421,19,12.048464
-8.520318,18,12.104398
-6.24534,17,12.156716
-7.129324,18,12.2121
-6.912686,18,12.267912
-8.517355,18,12.324131
-6.748467,18,12.379511
-7.876898,19,12.437633
-6.346404,18,12.493742
-7.02342,18,12.549173
-8.303369,18,12.604437
-7.851367,19,12.662718
-7.640591,18,13.506574
-7.29773,18,13.563268
-8.630872,19,13.623178
-8.194497,18,13.679921
-6.171364,18,13.736504
-6.696399,18,13.793018
-8.035586,18,13.849311
-7.174232,19,13.909088
-8.237701,19,13.968573
-7.797632,18,14.024902
-7.2969,19,14.084665
-7.147429,18,14.141171
-7.735129,18,14.197497
-9.780563,20,14.593119
-6.125815,17,14.645943
-8.150303,18,14.702613
-6.384411,18,14.75864
-8.080592,18,14.814561
-6.417778,18,14.870389
-9.594315,19,14.929702
-7.713649,18,14.985676
-8.57263,18,15.041665
-7.798337,19,15.101283
-8.944627,19,15.161232
-8.284378,18,15.217716
-7.626189,20,15.280783
-7.72141,17,15.3344
-7.981259,18,15.390556
-9.320632,19,15.449626
-5.306247,17,15.502985
-7.145106,18,15.559447
-7.203226,18,15.61515
-8.273884,19,15.6743
-9.475401,19,15.734229
-6.919971,18,15.790235
-6.979696,19,15.849443
-7.72235,18,15.905851
-8.495613,18,15.96258
-7.019091,18,16.018692
-9.40986,19,16.07774
-8.735946,19,16.137484
-8.247544,18,16.193961
-6.941679,18,16.250107
-9.266937,19,16.30919
-4.876766,17,16.362267
-9.214156,19,16.421401
-6.920317,18,16.477439
-9.685058,19,16.868107
-7.430311,18,16.925265
-7.180784,18,16.981695
-7.818063,18,17.038359
-5.931445,17,17.091548
-6.769561,19,17.151573
-6.876011,18,17.208263
-5.122091,17,17.261582
-7.975601,18,17.318382
-8.940723,18,18.09603
-7.455632,19,18.155972
-5.131487,18,18.211909
-8.632575,18,18.267232
