#{"t_start": 1762492845.3533762, "env_id": "None"}
r,l,t
-6.744768,18,0.737548
-8.417643,18,0.794701
-8.324883,20,0.856596
-8.01171,18,0.9137
-5.506327,18,0.969375
-6.029491,18,1.025131
-9.114549,19,1.0834
-7.797954,18,1.139472
-7.137621,18,1.194828
-6.358428,19,1.252894
-7.041355,19,1.311896
-6.941649,18,1.367751
-6.814242,18,1.423825
-6.337797,18,1.479132
-6.622359,18,1.535471
-8.105206,18,1.590569
-6.967291,18,1.645683
-8.299576,18,1.701222
-7.341902,19,1.760743
-7.244405,18,1.815967
-5.855215,18,1.871492
-7.064912,18,1.928231
-7.092167,18,1.98462
-7.72014,18,2.040183
-7.000852,19,2.099329
-5.285405,17,2.152762
-8.450904,18,2.208474
-7.103664,17,2.260869
-9.396142,19,2.31971
-7.457967,19,2.379093
-7.364412,18,2.435185
-7.467345,18,2.490475
-7.549544,18,2.546716
-9.32777,19,2.605362
-9.501044,20,11.513839
-8.882495,18,11.568775
-8.2423,18,11.623898
-9.188969,19,11.682706
-9.606672,19,11.74118
-5.893115,18,11.796579
-6.853202,19,11.85561
-6.775063,18,11.911251
-8.379245,18,11.967266
-7.030912,19,12.025542
-11.109059,19,12.08439
-6.966085,19,12.143142
-8.332674,18,12.198523
-8.585826,18,12.254316
-9.63786,19,12.313626
-8.836681,18,12.368866
-7.098883,19,12.427014
-8.974602,19,12.486517
-8.552158,18,12.541739
-7.988996,18,12.597008
-7.442449,18,12.652459
-6.54882,18,13.496295
-7.044793,17,13.549763
-7.949864,18,13.606125
-9.153884,19,13.666359
-6.964767,18,13.722927
-7.521381,17,13.776124
-7.466814,18,13.832422
-7.422175,19,13.89197
-6.984498,18,13.948275
-9.288038,19,14.008042
-8.13262,18,14.064612
-7.060634,18,14.121149
-7.238717,18,14.177497
-7.454353,19,14.569766
-8.145891,18,14.625984
-8.515889,19,14.685449
-8.994092,19,14.745205
-6.886951,18,14.800957
-7.08283,18,14.856777
-8.873365,19,14.916096
-8.0288,18,14.972083
-8.623205,19,15.031551
-8.056881,18,15.087825
-9.061546,19,15.147787
-8.456507,18,15.204278
-8.029233,18,15.260731
-7.040105,18,15.317414
-6.141158,18,15.373505
-4.54232,17,15.426288
-7.732503,18,15.482694
-7.66176,19,15.542425
-6.450915,18,15.598176
-8.242741,18,15.654119
-7.757977,18,15.711142
-7.038505,18,15.767159
-7.050508,18,15.823227
-8.430484,18,15.879223
-8.934649,19,15.939059
-8.047012,18,15.995412
-8.791275,19,16.054675
-7.442121,17,16.107864
-7.734302,17,16.16179
-6.510946,17,16.214708
-6.098671,18,16.270462
-9.703902,19,16.329825
-9.845817,19,16.389145
-6.775316,18,16.44506
-7.219779,19,16.835606
-7.173456,17,16.889252
-4.871166,17,16.943283
-7.302509,18,16.999814
-7.54266,18,17.055975
-9.098711,19,17.115983
-7.950199,18,17.172561
-6.771358,19,17.231982
-7.957052,18,17.288384
-8.332347,18,17.345428
-8.282613,18,18.12359
-6.019079,17,18.176664
-7.300809,18,18.231954
-7.961241,18,18.287295
-8.731221,18,18.343907
-8.815244,19,18.402539
-8.832256,19,18.460763
-6.90205,18,18.516944
-9.624666,19,18.576425
-6.934883,17,18.628781
