tray_x,tray_y,tray_z,tray_yaw,joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.3,-0.3,0.1,-3.141592653589793,-0.5869769251004667,1.2476822762713684,-0.48068958567836045,4.042845821753514,-0.7917131865447031,-1.039099849032599,-0.6858284606135943
0.3,-0.3,0.1,-2.5703939893007397,-0.3856931568141957,1.2733895940006086,-0.5030617108957732,4.14901323661716,-1.0095682204394534,-1.034796954192174,-0.7137666374387717
0.3,-0.3,0.1,-1.9991953250116865,-0.47451758124091814,1.5445266265829036,-0.7776072029604193,4.727081350240468,-1.621072150063581,-0.7921996313204172,-0.7985908190681229
0.3,-0.3,0.1,-1.4279966607226333,-0.4493522013637202,1.6561308934246344,-0.8551043950871544,5.03962300191504,-2.094778934809922,-0.7345494902894363,-1.0672703822175111
0.3,-0.3,0.1,-0.8567979964335799,-0.42092404706074954,1.706976522667711,-0.8821072578280755,5.283688147955561,-2.61255749439687,-0.803659388745556,-1.3777466600008772
0.3,-0.3,0.1,-0.2855993321445265,-0.2676957820294753,1.7085107968380093,-0.9246924850211694,5.315787306462034,-3.0016264642445716,-1.0403792385772765,-1.6506195140999458
0.3,-0.3,0.1,0.2855993321445265,0.0625742800840935,1.6482670458381645,-0.9530134611723685,5.017988824805283,-3.208430696005532,-1.491615066503746,-1.7571979701236056
0.3,-0.3,0.1,0.8567979964335799,0.4570258656557023,1.6223544931671297,-0.9634125144905943,4.611670944932372,-3.346690659460449,-2.0235128033334964,-1.6958677391901187
0.3,-0.3,0.1,1.4279966607226333,0.6283605718853094,1.676823891213471,-0.9886736585521211,4.714606332693556,-3.4690650519163664,-2.1847829321218883,-1.6741090952632403
0.3,-0.3,0.1,1.9991953250116863,1.574108853912969,2.1796544709370673,-0.6650771235772838,3.892597327421246,-3.262197701587947,-3.1172018047333476,-1.2102349399266732
0.3,-0.3,0.1,2.57039398930074,1.831295075518948,2.266742367876022,-0.7590850970479149,3.9559257258404985,-3.26530999456785,-3.205164946004403,-1.2311778507410742
0.3,-0.3,0.1,3.141592653589793,2.253623035698481,2.389680749592554,0.16138274791963358,3.6909548853155547,-1.6381110548807065,-4.141958317790966,-2.0430721365823574
0.3,-0.3,0.30000000000000004,-3.141592653589793,2.2866475700053104,2.678972491930626,0.2961468280938041,3.4648544894463513,-1.8236737714890003,-4.31586307315406,-1.487403143746264
0.3,-0.3,0.30000000000000004,-2.5703939893007397,2.43623804241549,2.694491273422877,0.18807236560732055,3.4571615890259695,-1.6899770399069793,-4.464351975357615,-1.5305385687859052
0.3,-0.3,0.30000000000000004,-1.9991953250116865,2.3416070976716123,3.362915670820733,0.4432856154972893,4.199584965804939,-1.02119618214807,-5.340911983428299,-1.434504003608949
0.3,-0.3,0.30000000000000004,-1.4279966607226333,2.4844743918988477,3.3579946088138284,0.3016013181303666,4.261611986714974,-0.86943033497827,-5.4553806975169685,-1.4141251897238076
0.3,-0.3,0.30000000000000004,-0.8567979964335799,2.412593924653653,3.7179581775406563,0.10985910651160882,4.818356736281155,-0.07898738188773653,-5.816410234957962,-0.8107435521522989
0.3,-0.3,0.30000000000000004,-0.2855993321445265,2.610247122958525,3.716985739230743,-0.0736111419871188,4.833740887147402,0.07410312696443815,-5.819913021747997,-0.7861632984473212
